plate,well_letter,well_number,well_content,absorbance_660
2,B,4,Hom 23 1:4 R2,0.154
2,C,4,Hom 23 1:4 R3,0.1544
2,D,4,Hom 70 1:4 R1,0.1582
2,E,4,Hom 70 1:4 R2,0.1588
2,F,4,Hom 70 1:4 R3,0.1538
2,G,4,Hom 37 1:4 R1,0.1544
2,H,4,Hom 37 1:4 R2,0.1569
2,A,5,Hom 33 1:4 R1,0.1506
2,B,5,Hom 33 1:4 R2,0.1555
2,C,5,Hom 33 1:4 R3,0.1566
2,D,5,Hom 27 1:4 R1,0.1585
2,E,5,Hom 27 1:4 R2,0.1588
2,F,5,Hom 27 1:4 R3,0.1584
2,G,5,Hom 81 1:4 R1,0.1562
2,H,5,Hom 37 1:4 R3,0.1556
2,A,6,Hom 35 1:4 R1,0.1509
2,B,6,Hom 35 1:4 R2,0.1543
2,C,6,Hom 35 1:4 R3,0.1498
2,D,6,Hom 56 1:4 R1,0.1593
2,E,6,Hom 56 1:4 R2,0.1581
2,F,6,Hom 56 1:4 R3,0.1604
2,G,6,Hom 81 1:4 R2,0.1596
2,H,6,Hom 81 1:4 R3,0.1614
2,A,7,Hom 43 1:4 R1,0.1594
2,B,7,Hom 43 1:4 R2,0.1553
2,C,7,Hom 43 1:4 R3,0.1554
2,D,7,Hom 97 1:4 R1,0.1644
2,E,7,Hom 97 1:4 R2,0.1653
2,F,7,Hom 97 1:4 R3,0.1686
2,G,7,Hom 44 1:4 R1,0.1546
2,H,7,Hom 44 1:4 R2,0.1592
2,A,8,Hom 46 1:4 R1,0.1516
2,B,8,Hom 46 1:4 R2,0.1543
2,C,8,Hom 46 1:4 R3,0.158
2,D,8,Hom 98 1:4 R1,0.1559
2,E,8,Hom 98 1:4 R2,0.1549
2,F,8,Hom 98 1:4 R3,0.1589
2,G,8,Hom 39 1:4 R1,0.162
2,H,8,Hom 44 1:4 R3,0.1633
2,A,9,Hom 51 1:4 R1,0.1574
2,B,9,Hom 51 1:4 R2,0.1598
2,C,9,Hom 51 1:4 R3,0.1619
2,D,9,Hom 101 1:4 R1,0.1568
2,E,9,Hom 101 1:4 R2,0.1578
2,F,9,Hom 101 1:4 R3,0.1661
2,G,9,Hom 39 1:4 R2,0.1576
2,H,9,Hom 39 1:4 R3,0.159
2,A,10,A Stand. R1,0.2495
2,B,10,B Stand. R1,0.3543
2,C,10,C Stand. R1,0.5185
2,D,10,D Stand. R1,0.6349
2,E,10,E Stand. R1,0.9874
2,F,10,F Stand. R1,1.3165
2,G,10,G Stand. R1,1.5297
2,H,10,PBS,0.1529
2,A,11,A Stand. R2,0.2365
2,B,11,B Stand. R2,0.3613
2,C,11,C Stand. R2,0.4816
2,D,11,D Stand. R2,0.7351
2,E,11,E Stand. R2,1.0214
2,F,11,F Stand. R2,1.2672
2,G,11,G Stand. R2,1.2994
2,H,11,PBS,0.1518
2,A,12,A Stand. R3,0.2627
2,B,12,B Stand. R3,0.3935
2,C,12,C Stand. R3,0.501
2,D,12,D Stand. R3,0.622
2,E,12,E Stand. R3,0.9458
2,F,12,F Stand. R3,1.1437
2,G,12,G Stand. R3,1.0373
2,H,12,PBS,0.1521
