Gene,SYMBOL,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
g10089,C10orf35,3.550170046,3.737121436,3.435408031,3.32126391,3.69997804,3.632884823,3.724994153,4.088268336,3.532424491,2.212071401,3.928942371,3.525040138
g1009,g1009,5.211713115,3.601068806,3.975995448,2.568268591,1.691109504,0.980168977,2.08361197,-1.69637414,2.956646102,2.862213531,4.578555054,0.850637635
g10090,GAL3ST2,1.280516159,1.95156257,2.752710078,2.743697616,2.085194502,2.902232849,2.424884649,2.344986728,1.536982658,1.999361052,0.329175915,2.709702508
g10091,g10091,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10092,GAL3ST2,2.638238604,2.130875666,2.501221536,3.412414504,1.363441346,0.850662594,-0.751511715,0.902678756,2.043003139,0.783636765,0.81331939,2.312180635
g10093,GAL3ST2,-2.750286568,-2.750286568,-2.750286568,-1.617506187,-2.750286568,-2.750286568,-2.750286568,-0.802197095,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10094,g10094,3.261187072,3.496962704,2.99410864,4.100983605,3.146044724,3.774811499,3.185007799,3.608973145,4.318821576,3.762132512,3.161383483,4.0905873
g10095,g10095,3.656179225,2.618248274,4.065192623,3.727777283,3.7920628,3.57667387,3.993464426,2.814305794,2.745531894,2.978994813,2.393035997,3.200402411
g10096,g10096,6.325798072,7.116726944,5.993109193,6.233743982,6.011731699,6.495632926,7.018086677,5.883480171,6.816492873,5.952519102,7.161576434,7.484559821
g10097,g10097,4.618849868,3.966908754,4.530325289,3.836611119,4.107495187,4.076608381,4.376170388,4.164835019,4.153654099,4.316165798,4.468776093,4.646267061
g10098,g10098,5.574037186,5.446922602,5.204796961,4.587367656,5.450444978,4.970722932,3.896637668,5.48601732,4.696176816,4.262853828,4.611685615,5.134970202
g10099,g10099,4.019331386,3.603426411,3.135432967,3.47468533,2.8248246,3.902809206,3.824699419,3.448076835,2.476115108,3.050439411,4.580926867,3.479956273
g101,g101,1.475553431,0.883193804,1.12272216,1.638490938,3.804465674,2.327424786,1.951998075,2.266307897,0.448494207,0.903065959,2.662283654,4.135245305
g1010,DENND4B,-1.55119774,0.725467888,0.354762982,-2.750286568,-0.861163829,0.229365502,-1.680940852,-2.750286568,-0.660933121,-0.865711832,0.240892741,-2.301277337
g10100,MS4A4A,2.390804174,1.163910686,2.614000723,2.661424905,0.16434089,0.854711342,1.300506993,1.565701889,1.244767896,0.750054787,1.149015255,2.035631445
g10101,SFTPD,-0.9260576,-2.750286568,-0.494730641,2.961594138,0.303960048,-2.750286568,-2.750286568,0.987168232,-1.828384732,-2.750286568,0.38438779,5.267888178
g10102,g10102,4.175015151,3.686786095,3.791592396,4.559845109,5.166342566,4.378494149,1.676616229,4.846471124,4.413281093,1.30846452,4.869343415,3.987652767
g10103,g10103,2.812567085,1.613417993,2.675630967,1.782954225,3.245861657,2.500861564,1.81984152,2.465432027,2.682537564,1.132005136,3.427090717,0.864040123
g10104,g10104,5.599492547,3.649635034,5.108967077,4.017469838,6.29294125,4.552470916,3.482236156,5.344683589,5.346843671,4.021515392,6.058022961,4.341435368
g10105,g10105,2.620691275,1.59467126,1.964158106,2.997014336,3.489606242,1.054774291,-0.398455409,2.238270351,1.611599206,-1.295367959,3.180991794,3.091610745
g10106,g10106,6.625213059,5.880093134,6.09416393,5.912664141,6.472706341,6.135043581,6.336811028,6.073890513,6.505537055,4.977585261,6.888291119,6.045291817
g10107,g10107,0.52254094,0.028396485,-0.018365462,-2.750286568,1.077537552,0.108539428,0.896275015,0.654812043,0.438274051,-1.299788612,-0.700738028,0.323153854
g10108,g10108,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.116014376,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10109,TNC,3.671665375,7.170104931,5.865574225,4.051733677,4.641726928,4.285070057,7.186329803,-0.314676952,4.284561415,5.587315611,4.912972565,6.308164764
g1011,g1011,0.961950645,0.929036568,0.059056526,1.526533082,-0.01391445,0.708230664,0.952704793,-0.784569627,0.624553406,0.661652682,1.541590614,0.916896834
g10110,g10110,0.328868472,-0.78806732,0.259476208,0.023335362,-0.643342141,0.340081856,-2.750286568,0.021786253,0.906578231,-0.261567882,-0.317302267,-0.559058533
g10111,CRYGB,-0.135944635,-2.750286568,0.114118535,5.861499815,-2.750286568,5.380747182,-2.750286568,-2.750286568,6.328729583,-1.258696442,-1.713205682,5.018030371
g10112,g10112,2.205865433,-1.17396054,0.592767706,-0.514786537,0.417200429,-0.117073906,0.564140541,0.228722449,0.824971203,1.770428799,1.504038046,1.994133398
g10113,g10113,-1.56522902,-1.042917104,-1.369391813,-2.750286568,-2.070716988,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,0.060458775,-1.214910332
g10114,g10114,3.931435757,4.368468708,4.066544158,3.892670544,4.821871444,4.99576783,1.31444645,-0.156308248,2.941463489,2.992960182,2.385354861,3.787832069
