Gene,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
g4029,TDO2,-0.628210899,6.000802672,-1.964361082,0.071295833,0.534226652,-4.45399409
g4030,NFKB2,0.138979219,5.883077204,0.985796515,0.342275876,0.789065247,-5.706800262
g4031,g4031,0.153681286,4.582708995,0.416461813,0.68388509,0.934526637,-5.951189443
g4032,ANGEL2,-0.110302887,1.937240131,-0.141031589,0.89001299,0.981245356,-5.353359401
g4033,g4033,-0.170790192,3.834797993,-0.356617072,0.727116045,0.946879018,-5.794601923
g4034,CCR4,-0.676420695,2.211754126,-0.726925391,0.480193822,0.852389795,-5.202632601
g4035,CISD2,-0.135438444,5.395733494,-0.404266617,0.692607264,0.937140495,-6.058612845
g4036,KIAA1147,0.113384109,3.864855279,0.429591322,0.674547205,0.930756894,-5.801459009
g4037,LRP5L,0.491985767,5.612257281,1.210151657,0.247825424,0.725163705,-5.449533763
g4038,g4038,2.214670069,1.867524952,2.358055285,0.034750991,0.435010164,-3.502745452
g4039,g4039,0.071969883,4.882610835,0.150360685,0.882794444,0.980336914,-6.074177774
g404,g404,-0.674462799,0.579477594,-0.817316997,0.428513699,0.83033896,-4.846879021
g4040,g4040,0.269733582,1.861947108,0.399313017,0.696163309,0.937140495,-5.198866425
g4041,g4041,1.167474939,2.571140151,1.227905864,0.241311881,0.718330914,-4.929706552
g4042,g4042,-0.509709627,0.272134675,-0.478640439,0.640166542,0.918686497,-4.876189813
g4043,g4043,0.103680007,4.716098566,0.446920892,0.662307772,0.924676898,-5.946799626
g4044,g4044,-0.003956017,3.899095124,-0.013996895,0.989045584,0.998414919,-5.871877412
g4045,ANKRD28,0.008973404,5.08070501,0.066149253,0.948268301,0.992268101,-6.105853986
g4046,g4046,-0.369745568,4.417636199,-1.151799607,0.270203712,0.737741701,-5.358966676
g4047,RERG,-0.486363239,0.388955438,-0.860144125,0.405336825,0.819177352,-4.770118313
g4048,PKD1L1,0.041525208,7.436100055,0.220929487,0.828589056,0.969696201,-6.178755554
g4049,CR2,-0.935201608,5.518242983,-3.146509021,0.007746926,0.281834779,-2.419478805
g405,g405,0.4003173,3.21110813,1.112433327,0.28615644,0.75057579,-5.126634214
g4050,CR2,0.964090863,9.271387228,2.609961535,0.021634653,0.380174435,-3.359619244
g4051,SLC22A16,-0.250972839,2.609209823,-0.436782296,0.669456438,0.928379993,-5.452699253
g4052,SLC22A16,0.612550691,-0.262409374,0.721972434,0.483132155,0.854559335,-4.780656764
g4053,SLC22A16,-0.195129199,1.480328551,-0.456102403,0.655863503,0.923287831,-5.15700407
g4054,g4054,-0.026757082,5.32081937,-0.175565426,0.863348106,0.976913416,-6.119254242
g4055,MYOM1,-0.534289299,5.532695895,-2.176079452,0.048639347,0.485699715,-4.092562073
g4056,g4056,-0.020309136,1.871294546,-0.041238897,0.96773384,0.995146109,-5.326400266
g4058,SSTR5,0.437737736,4.306202131,1.973540796,0.070139474,0.532935463,-4.269937264
g406,g406,0.109518064,3.285490844,0.417038798,0.683473577,0.934526637,-5.630885824
g4060,SSTR5,0.104212842,3.642288821,0.479748906,0.639399081,0.918686497,-5.71445562
g4061,SSTR5,0.086183142,3.404582864,0.191842237,0.8508382,0.974745068,-5.738658888
g4062,SSTR5,-0.128578589,3.501037547,-0.342098467,0.737759444,0.950757882,-5.734111036
g4063,SSTR5,0.066349717,4.420333631,0.241612125,0.812860589,0.966202545,-5.973110476
g4064,SSTR5,-0.583445626,4.276300453,-1.658472451,0.12120861,0.604528483,-4.71198929
g4065,KIAA1107,0.090292579,3.498539489,0.41467559,0.685159712,0.935062165,-5.707353607
g4066,FBXO7,-0.242577074,5.543230135,-1.423482975,0.178217179,0.668553703,-5.194257583
g4067,SOX30,-0.369451951,5.880850272,-0.473566858,0.64368479,0.919925986,-6.085520641
g4068,g4068,-0.88744108,2.161729765,-1.532546493,0.149422776,0.637390576,-4.495160619
g4069,PLEKHA2,-0.220370382,5.484664885,-1.246986423,0.234462852,0.711308114,-5.399626918
g407,g407,0.46216373,0.849674738,0.911066581,0.37889037,0.807050276,-4.812926403
g4071,HSPBAP1,0.482878426,3.153376708,2.012816386,0.065383808,0.522018049,-4.028698865
g4072,THOC7,-0.501959213,4.246935482,-2.376436212,0.033579839,0.429392616,-3.619431102
g4073,g4073,-0.349406415,4.714650384,-0.456955353,0.655266282,0.923068464,-5.959288888
g4074,GPR37,-0.034220374,5.118167544,-0.21428083,0.833661889,0.971298063,-6.085890464
g4075,g4075,0.566726345,4.796160506,2.436525798,0.030008877,0.415896831,-3.598649562
g4076,PSMC3IP,-0.644820982,2.710752353,-1.85615721,0.086300369,0.549375635,-4.183448036
g4077,g4077,0.135908158,2.715481306,0.24871147,0.807480811,0.965254217,-5.56843699
g4078,g4078,0.056255824,5.866713563,0.323439216,0.751521092,0.954203297,-6.132846315
g4079,g4079,0.121973555,1.606000296,0.167007561,0.869941094,0.97814633,-5.240318943
g4080,g4080,0.264298703,5.408696315,1.163966791,0.265413482,0.73409239,-5.48896033
g4082,g4082,-0.238256086,5.235497758,-1.134565057,0.277102082,0.743260862,-5.503210871
g4083,RBM5,-0.041460812,5.907776595,-0.234086854,0.818573935,0.966202545,-6.161151828
g4084,CFAP61,-0.079298499,6.582898431,-0.220764099,0.828715148,0.969696201,-6.189935583
g4086,NDUFB11,-0.208229341,5.904322363,-1.419351032,0.179393571,0.670037236,-5.223519173
g4087,MRPL21,-0.287493401,3.578898525,-1.329518993,0.206599771,0.687681392,-4.991241706
g4088,g4088,0.15753521,6.228274188,1.161798642,0.266262263,0.734970128,-5.544635868
g4089,LRP11,-0.010188731,4.414374546,-0.053125602,0.958441804,0.994688529,-5.984705268
g4090,GTF3A,-0.051458238,4.620872823,-0.345082075,0.735567513,0.949974869,-5.968924474
g4091,BRPF1,-0.122742388,5.330962947,-0.973443203,0.348148263,0.791254464,-5.669139692
g4092,RWDD2B,-0.580308565,3.197597165,-1.566559526,0.141294513,0.62782581,-4.636766836
g4093,g4093,0.187904498,4.261854718,0.54365315,0.595906415,0.900856252,-5.814253018
g4094,ERC1,0.025111563,6.127051221,0.171955947,0.866127584,0.977415189,-6.185873071
g4095,WNT5B,0.283635127,2.370320917,0.91646282,0.376158884,0.806962472,-5.112791194
g4096,WNT5B,0.245387404,2.984785086,0.917045344,0.375864836,0.806858198,-5.274373961
g4097,WNT5B,-0.518132276,2.927967291,-1.88070425,0.082665059,0.546611284,-4.172604808
g4098,WNT5B,0.268164648,4.812831134,0.829058295,0.422075064,0.826650772,-5.718414363
g4099,WNT5B,-0.605002627,1.503918863,-1.322764885,0.208774507,0.689988138,-4.610891563
g4101,TMEM168,-0.476779758,5.220410582,-2.222646679,0.044655824,0.476698993,-3.988181669
g4102,LRP5L,-0.050422259,4.494479569,-0.164618927,0.871783131,0.978296276,-6.011902583
g4103,NDC1,-0.183300741,5.038958202,-0.857837992,0.406563147,0.819934628,-5.730985044
